CODE,NAME,NET WEIGHT,BEST BEFORE,PRINT MODE,NUTRITION TITLE,N. INFO A,N. INFO B,INGREDIANTS,REMARKS
1,BLACK FOREST 1 KG,1000 GM,1 Month,2,,"Calories,10gm,25%
Fat/Lipd, 2mg, 6%,
Cholostrol, 4mg, 8%
Sodium, 0mg,
Potassium, 5mg,10%
Protien, 1gm,10%","Vitamin A, 5%
Vitamin C, 3%
Caclium, 6%
Iron, 2%
Magnesium, 8%
Zinc, 2%
Copper, 6%
Manganese,50%
Phosphrouse, 2","Coco, Fresh Cream, Sugar, milk, wheat, butter, cheese, egg whites","Oranic and Fresh Ingredients are used.
Daily values are based on 2000 calories diet."
2,BLACK FOREST 1.5 KG,1500 GM,1 Month,2,,"Calories,10gm,25%
Fat/Lipd, 2mg, 6%,
Cholostrol, 4mg, 8%","Vitamin A, 5%
Vitamin C, 3%
Caclium, 6%
Iron, 2%
Magnesium, 8%","Coco, Fresh Cream, Sugar, ",Only veg oil is used to prepared. 
3,BLACK FOREST 2.5 KG,2500gm,1 Month,2,,,,"Coco, Fresh Cream, Sugar, ",Only veg oil is used to prepared. 
4,BLACK FOREST 2 KG,2KG,1 Month,2,,"Calories,10gm,25%
Fat/Lipd, 2mg, 6%,
Cholostrol, 4mg, 8%",,"Coco, Fresh Cream, Sugar, ",Only veg oil is used to prepared. 
6,BLACK FOREST 4 KG,4KG,1 Month,2,,"Calories,10gm,25%
Fat/Lipd, 2mg, 6%,
Cholostrol, 4mg, 8%","Vitamin A, 5%
Vitamin C, 3%
Caclium, 6%
Iron, 2%
Magnesium, 8%",,Only veg oil is used to prepared. 
7,BP KARA BOONDY 175G,175 GM,1 Month,1,,,,,
8,BP POTATO CHILLY 100G,100 GM,1 Month,1,,,,,
9,BP POTATO CHIPS PLAIN 100G,100 GM,1 Month,1,,,,,
136,BANANA CHIPS,500 GM,30 days,2,,"Calories,120
Fat/Lipdes, 2g, 6%,
       Saturates/Satures ,2g,10%
       Trans/trans ,0g,
Cholesterol, 0mg
Sodium, 0mg,
Potassium, 230mg,7%
Carbohydrate / Glucides,21g,7%
      Fibre/Fibres,1g,4%
      Sugars/Sucres,18g
Protien/Protienes, 1g,10%","Vitamin A, 0%
Vitamin C, 0%
Caclium, 0%
Iron/Fer, 4%
Phosphrouse, 2%
Magnesium, 8%
Zinc, 2%
Copper, 6%
Manganese,50%
","Coco, Fresh Cream, Sugar, milk, wheat, butter, cheese, egg whites",
1382,BP DAL MIXTURE 200G,200 GM,1 Month,,,,,,
1383,BP WHITE MIXTURE 200G,200 GM,1 Month,,,,,,
1384,BP GATTIYA 175G,175 GM,1 Month,,,,,,
1386,BP CONFLAKES CHILLY MIXTURE 175G,175 GM,1 Month,,,,,,
1388,BP KARASEV 175G,175 GM,1 Month,,,,,,
1972,BP KAPPA CHIPS 175G,175 GM,1 Month,,,,,,
1973,BP KAPPA STICK CHILLY 175G,175 GM,1 Month,,,,,,
2035,BP BANANA CHIPS 500G,500 GM,1 Month,,,,,,
2036,BP BANANA CHIPS 200G,200 GM,1 Month,,,,,,
2407,BP CHILLY MIXTURE SP 200G,200 GM,1 Month,,,,,,
2408,BP CHILLY MIXTURE 500G,500 GM,1 Month,,,,,,
2416,BP DIAMOND CUT 175G,175 GM,1 Month,,,,,,
2417,BP DIAMOND MASALA 175G,175 GM,1 Month,,,,,,
2418,BP FOUR CUT CHIPS 200G,200 GM,1 Month,,,,,,
2419,BP FOUR CUT CHIPS 500G,500 GM,1 Month,,,,,,
2580,BP CHEES LINGS 150G,175 GM,1 Month,,,,,,
2581,BP CHEES STICKS 250G,200 GM,1 Month,,,,,,
2688,BP KAPPA CHILLY 175G,175 GM,1 Month,,,,,,
2689,BP KAPPA STICK 175G,175 GM,1 Month,,,,,,
2690,BP PAKKAVADA 175G,175 GM,1 Month,,,,,,
2750,BP BUTTER BEANS,-,1 Month,,,,,,
2767,BP CARROT HALWA 100G,100 GM,1 Month,,,,,,
2775,BP CHOCOLATE BALL,-,1 Month,,,,,,
2814,BP CHOCO NUT PIE,-,1 Month,,,,,,
2882,BP GULAB JAMUN TIN 2NOS,2 NOS,8 Days,,,,,,
2883,BP GULAB JAMUN TIN 4NOS,4 NOS,8 Days,,,,,,
2884,BP GULAB JAMUN TIN 8NOS,8 NOS,8 Days,,,,,,
2922,BP MAIDA SWEET BOX 500G,500 GM,5 DAYS,,,,,,
2938,BP MILK HALWA 100G,100 GM,1 Month,,,,,,
2942,BP MILK SWEET BOX 500G,500 GM,5 DAYS,,,,,,
2944,BP MIXED SWEET BOX 500G,500 GM,5 DAYS,,,,,,
3507,BP GULAB JAM 750G,750 GM,1 Month,,,,,,
3702,BP BUTTER CHICKEN,-,1 Month,,,,,,
3781,BP GULAB JAMUN 5NO TIN,NO,10 Days,,,,,,
3786,BP MULLU MURUKKU PLAIN 175G,175 GM,-,,,,,,
3785,BP MULLU MURUKKU MASALA 175G,175 GM,-,,,,,,
3784,BP CONFLAKES SWEET MIXTURE 175G,175 GM,-,,,,,,
3411,BP KARASEV 200G,200 GM,1 Month,,,,,,
3412,BP SWEET SEV 200G,200 GM,1 Month,,,,,,
3413,BP PAKKAVADA 200G,200 GM,1 Month,,,,,,
2941,BP MILK SWEET BOX KG,1 KG,5 DAYS,,,,,,
2943,BP MIXED SWEET BOX KG,1 KG,5 DAYS,,,,,,
3898,BP DIAMOND SWEETS 175G,175 GM,1 Month,,,,,,
3884,BP SARKARA KARI 175G,175 GM,1 Month,,,,,,
710,BP PLAIN SEV 175G,175 GM,1 Month,,,,,,
457,BP DIAMOND SWEET CUT 175G,175 GM,1 Month,,,,,,
458,BP THATTA 175G,175 GM,1 Month,,,,,,
760,BP KAJOO PAKKAVADA 150G,150 GM,1 Month,,,,,,
1032,BP KAJU MIXTURE 500G,500 GM,1 Month,,,,,,
1031,BP KAJU MIXTURE 200G,200 GM,1 Month,,,,,,
628,BP MOONGDAL FRY 100G,100 GM,1 Month,,,,,,
634,BP BANACHIPS 165GM,165 GM,1 Month,,,,,,
635,BP SARKARAVARATI 400G,400 GM,1 Month,,,,,,
2961,BP PALADA PAYASAM 1L,1 LTR,2 Days,,,,,,
6300,BP PALADA PAYASAM 500ML,500 ML,2 Days,,,,,,
6301,BP MUTTER MASALA 100G,100 GM,1 Month,,,,,,
